daily analysis
day,best_hour_start,best_hour_steps,morning_total,evening_total,winner,hour_0_avg,hour_1_avg,hour_2_avg,hour_3_avg,hour_4_avg,hour_5_avg,hour_6_avg,hour_7_avg,hour_8_avg,hour_9_avg,hour_10_avg,hour_11_avg,hour_12_avg,hour_13_avg,hour_14_avg,hour_15_avg,hour_16_avg,hour_17_avg,hour_18_avg,hour_19_avg,hour_20_avg,hour_21_avg,hour_22_avg,hour_23_avg
0,279,3468,2667,1702,morning,0.1,44.6,9.6,0.2,15.7,42.3,0.1,8.7,35.4,0.1,0.1,0.1,0.1,0.1,0.3,0.1,0.1,0.1,0.2,0.2,12.3,15.6,0.1,0.1
1,452,1403,1934,61,morning,0.2,0.1,0.1,0.2,0.1,0.1,0.2,23.3,0.2,0.3,0.1,8.2,0.2,0.1,12.2,0.2,0.2,0.1,0.1,0.3,0.4,0.1,0.1,0.1
2,96,3696,1043,49,morning,19.8,26.1,39.2,0.3,0.2,15.8,0.2,16.6,0.1,0.1,0.2,0.3,0.1,0.2,0.1,0.1,0.1,0.2,0.1,0.2,0.1,0.2,0.1,14.2
3,0,2650,2194,48,morning,44.2,0.2,0.1,12.3,0.1,0.2,35.8,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.0,0.1,15.7,0.1,0.2,0.2,0.2,0.2,0.1,0.1
4,651,2642,2673,36,morning,0.2,0.1,0.2,0.1,0.0,0.3,0.0,0.1,0.1,0.1,3.5,40.7,0.3,0.1,0.2,0.1,0.2,0.1,0.0,0.1,0.2,0.1,0.1,42.4
5,271,3320,3253,1046,morning,0.5,0.3,0.1,40.4,34.7,21.6,0.2,31.0,14.1,0.2,8.4,0.3,0.1,0.2,0.3,0.1,0.1,0.2,16.6,0.1,0.3,0.1,0.1,0.3
6,576,4007,4058,30,morning,0.1,40.2,0.2,0.1,0.2,0.1,0.2,0.1,0.2,19.5,47.5,0.1,0.1,0.2,0.2,0.1,0.2,0.1,0.1,0.0,0.1,0.1,0.3,0.2

peak activity
day,minute,steps,subseq_0,subseq_1,subseq_2,subseq_3,subseq_4,subseq_5,subseq_6,subseq_7,subseq_8,subseq_9,subseq_10,subseq_11,subseq_12,subseq_13,subseq_14
6,601,85,76,82,81,75,73,76,72,85,81,81,79,78,83,83,78
